cmd,p1,p2,p3
Set,size,50,
Spawn,coin,2,
Spawn,coin,3,
Spawn,coin,4,
Spawn,coin,5,
Spawn,coin,6,2
Spawn,spike,7,
Spawn,spike,8,
Spawn,spike,9,
Spawn,coin,8,2
Spawn,coin,9,2
Spawn,coin,10,1.5
Spawn,coin,11,1.5
Spawn,coin,12,
Spawn,coin,13,
Spawn,coin,14,
Spawn,coin,15,
Spawn,coin,16,
Spawn,coin,17,
Spawn,coin,18,
Spawn,coin,19,
Spawn,coin,20,
Spawn,spike,21,
Spawn,spike,22,
Spawn,spike,23,
Spawn,coin,23,2
Spawn,coin,24,2
Spawn,coin,25,1.5
Spawn,coin,26,
Spawn,coin,27,
Spawn,coin,28,
Spawn,spike_up,30,0.9
Spawn,spike_up,31,0.9
Spawn,spike_up,32,0.9
Spawn,coin,30,
Spawn,coin,31,
Spawn,coin,32,
Spawn,coin,33,
Spawn,coin,34,
Spawn,coin,35,
Spawn,coin,36,
Spawn,spike_up,37,0.9
Spawn,spike_up,38,0.9
Spawn,spike_up,39,0.9
Spawn,coin,40,
Spawn,coin,41,
Spawn,coin,42,
Spawn,mud,43,
Spawn,coin,44,
Spawn,platform,,
